Tim <extra_id_0> m.jin.	<extra_id_0> brzadem żëwią sã <extra_id_1>
Czej wrócą z zëmòwiska przëlôtają nôczãscy <extra_id_0> chòjnowëch, gdze szëkają, żëwiącëch so chòjanama, włosatëch wąsewniców, chtërne akùratno te wëchôdają ze swëch môlów zëmòwaniégò.	<extra_id_0> do sklëniącëch lasów <extra_id_1>
Jej wyrazem jest nieumiarkowane dążenie do bogactwa, przyjemności i <extra_id_0> ciała, wyuzdanie, pogarda dla życia – nawet tego, które się niszczy, zanim świat ujrzało (	<extra_id_0> wygody, egoizm, kult <extra_id_1>
Jedno złącze umieszczane jest w miejscu pomiaru, podczas gdy drugie utrzymywane jest <extra_id_0> odniesienia (np. mieszanina wody z lodem), co nazywa się termostatyzacją.	<extra_id_0> w stałej temperaturze <extra_id_1>
Je to 1766 rok <extra_id_0> narodzenim Christusa), 766. rok drëdżégò tësąclecô, 66. rok XVIII stolatégò, 6. rok 7-égò dzesãcolecô XVIII stolatégò.	<extra_id_0> naszi erë (pò <extra_id_1>
Początkowo przyjaciółki wspominają chwile spędzone w <extra_id_0> końcu każda z nich zaczyna opowiadać o swoich aktualnych problemach.	<extra_id_0> szkole, ale w <extra_id_1>
Tam weszło <extra_id_0> płk dypl.	<extra_id_0> w skład Grupy <extra_id_1>
Inauguracja stacji przebiegała pod hasłem „Nuda na <extra_id_0> na Słowacji się skończyła).	<extra_id_0> Slovensku skončila” (Nuda <extra_id_1>
Francëszka <extra_id_0> ekòlodżi.	<extra_id_0> patrónã ekòlogów i <extra_id_1>
Johnson w swojej grze cechuje się dużą kreatywnością <extra_id_0> technicznymi.	<extra_id_0> i wysokimi umiejętnościami <extra_id_1>
Pozornie odniesiono zwycięstwo nad Świdrygiełłą, jednak za pozbawionym tronu bratem <extra_id_0> ruska część wielkiego księstwa, co jesienią doprowadziło do wojny domowej.	<extra_id_0> Jagiełły opowiedziała się <extra_id_1>
Je to 1427 rok naszi erë (pò narodzenim Christusa), 427. rok drëdżégò tësąclecô, <extra_id_0> stolatégò, 7. rok 3-égò dzesãcolecô XV stolatégò.	<extra_id_0> 27. rok XV <extra_id_1>
Biblioteka bernardynów <extra_id_0> ofiarodawcy.	<extra_id_0> bydgoskich i jej <extra_id_1>
Często błędnie interpretuje się <extra_id_0> zwiększającą (lub zmniejszającą) wartość ogniskowej.	<extra_id_0> to jako liczbę <extra_id_1>
Tu <extra_id_0> Neclów.	<extra_id_0> są wërobinë rodzëznë <extra_id_1>
Czasami same prostytutki przymocowywały napisy, czasami sutener, czy <extra_id_0> także zadowolony, (lub też niezadowolony) klient.	<extra_id_0> właściciel, a czasami <extra_id_1>
Bëła sostrą i białką Kronosa, memka Demeter, Hadesa, Herë, Hestii, Pòsejdona i <extra_id_0> Daktylów.	<extra_id_0> Zeùsa, a także <extra_id_1>
Droga <extra_id_0> została powtórzona.	<extra_id_0> ta nigdy nie <extra_id_1>
Samochód przeszedł wyraźne wizualne zmiany na tle poprzednika – stał się większy, <extra_id_0> sylwetkę i więcej ostrych linii.	<extra_id_0> zyskał bardziej muskularną <extra_id_1>
W ùbògaconëch przez azot i fòsfór mòrzczich wòdach <extra_id_0> sã planktón.	<extra_id_0> òsoblewò mòcno rozwijô <extra_id_1>
Zanôléżno òd <extra_id_0> rozmajitą bùdowniã i ùfarbòwanié.	<extra_id_0> sprawióny robòtë, maja <extra_id_1>
Nawetka czedë <extra_id_0> sã sóm dlô se dali sëdzy krótkò swòjégò gniazda i wraca tam na noc i jedzenié.	<extra_id_0> młodi krëczk zrobi <extra_id_1>
Je to 956 rok naszi erë (pò narodzenim Christusa), 956. <extra_id_0> 56. rok X stolatégò, 6. rok 6-égò dzesãcolecô X stolatégò.	<extra_id_0> rok pierszégò tësąclecégò, <extra_id_1>
Timoteo (ボンゴレ) a.k.a. Vongola <extra_id_0> Nono) jest aktualnym szefem (Dziewiątym) rodziny Vongola, jako swojej broni głównej używa berła.	<extra_id_0> Nono (ボンゴレIX代目(ノーノ) Bongore <extra_id_1>
Udało mu się nawet wzniecić wśród francuskiej szlachty rewoltę, ale <extra_id_0> powiódł.	<extra_id_0> spisek się nie <extra_id_1>
Olav Engelbrektsson jest traktowany przez współczesnych norweskich historyków jako postać, która z jednej strony była wielkim patriotą, z drugiej jednak, zbyt mocno <extra_id_0> interesom Kościoła katolickiego.	<extra_id_0> podporządkowywała losy Norwegii <extra_id_1>
Każda <extra_id_0> w dwóch grupach.	<extra_id_0> drużyna znalazła się <extra_id_1>
Wysokość pokojów na <extra_id_0> na 8 łokci.	<extra_id_0> pierwszym piętrze przewidziano <extra_id_1>
Do <extra_id_0> 81 dniów.	<extra_id_0> kùńca roku je <extra_id_1>
Głownym argùmentã przemawiającym za susznoscą ùtożsômianiô aùtorstwa Trzecy <extra_id_0> Apòstolsczich z Łukasz, towarziszã Pawła, są czëre fragnentë w Dzejach Apòstolsczich: Dz.	<extra_id_0> Ewanielië i Dzejów <extra_id_1>
Od początku następnego częściej grywał w pierwszym zespole i rozegrał 24 pojedynki, natomiast Energei <extra_id_0> czternastej pozycji w Bundeslidze.	<extra_id_0> uplasowało się na <extra_id_1>
Niżi <extra_id_0> pòlsczich gardów.	<extra_id_0> lësta nôwikszëch z <extra_id_1>
Òni miélë troje dzecy: Ùrszulã, ona ùmarła czedë mia dzesãc <extra_id_0> zabiti w Drëdżi Wòjnie Swiotwi.	<extra_id_0> miesãcy, Szczepan béł <extra_id_1>
Pierwòrodny ùmarł niesteti w dzecyństwie, jakno téż <extra_id_0> Marta.	<extra_id_0> jegò nômłodszô sostra <extra_id_1>
W <extra_id_0> one 60% PKB Szwecji.	<extra_id_0> 1980 roku stanowiły <extra_id_1>
Na przestrzeni lat linię obsługiwało kilka <extra_id_0> do czasów współczesnych zachował się przynajmniej jeden egzemplarz każdego z typów.	<extra_id_0> różnych modeli wagonów, <extra_id_1>
Zbawiciel trzyma w lewej ręce biały <extra_id_0> zza jego pleców powiewa czerwona materia, która symbolizuje męczeństwo.	<extra_id_0> sztandar, symbol zwycięstwa, <extra_id_1>
Wywalczył z gorzowskim <extra_id_0> medale (1992, 1997) i 2 brązowe (1987, 2000) drużynowych mistrzostw Polski.	<extra_id_0> klubem 2 srebrne <extra_id_1>
Pierszi rôz pòkôzôł sa <extra_id_0> w roli Kena Wiloceka w dramace Freda Zinnemanna The Men(1950) z Teresą Wright, Everett Sloane i Dorothy Tree.	<extra_id_0> na wiôldżim ekranié <extra_id_1>
Je to 983 rok naszi erë (pò narodzenim Christusa), 983. rok pierszégò tësąclecégò, <extra_id_0> stolatégò, 3. rok 9-égò dzesãcolecô X stolatégò.	<extra_id_0> 83. rok X <extra_id_1>
Wszechswiat, zwóny téż Kòsmòsã, w òglowim rozmienim òznaczô <extra_id_0> òkrãżô, całą materiã i energiã.	<extra_id_0> wszëtkò co nas <extra_id_1>
Jich masa mòże bëc nôwëżi kòl 2,8 raza <extra_id_0> Słuńca.	<extra_id_0> wiãkszô òd masë <extra_id_1>
Nôwiãcy bòcónów pòjôwiô <extra_id_0> pòdolnëch.	<extra_id_0> sã na môlekach <extra_id_1>
Do kùńca <extra_id_0> dniów.	<extra_id_0> roku je 76 <extra_id_1>
Hyl.) <extra_id_0> ôrt roscënë z rodzëznë granôtkòwatëch (Caryophyllaceae).	<extra_id_0> – to je <extra_id_1>
Jegò <extra_id_0> zortów.	<extra_id_0> je 5 rozmajitich <extra_id_1>
Poss nadrabiał stratę do lidera w wolnym tempie, lecz nad punktem <extra_id_0> nadrobił około 3 minut straty, wyprzedzając Possa, a Morzik nadrobił około 6 minut.	<extra_id_0> kontrolnym Doberlug Hirth <extra_id_1>
Rejestr głowowy – pojęcie z techniki wokalnej służące do określenia odczuwalnego <extra_id_0> głowie rezonansu.	<extra_id_0> przez śpiewaka w <extra_id_1>
Niektórzy z członków TT zwracali uwagę na zbyt szczupły budżet Towarzystwa, który winien być <extra_id_0> na inwestycje w samych Tatrach.	<extra_id_0> przeznaczany przede wszystkim <extra_id_1>
Pòchwôt pòchôdô òd grecczich <extra_id_0> (engkuklios paideia), jaczé dosłowno znaczą "zaòkrãglonô, całownô edukacëjô".	<extra_id_0> słów: ἐγκύκλιος παιδεία <extra_id_1>
Wòjcecha <extra_id_0> Warszawie.	<extra_id_0> Górsczigù w <extra_id_1>
Dzieci z dostojną nieśmiałością odgrywają melodie na flecie, a pani Rose <extra_id_0> Möbiusa „Johannie Wilhelmleinie”.	<extra_id_0> zwraca się do <extra_id_1>
Dzięki ofiarności organisty Henryka Berczyńskiego udało się zachować <extra_id_0> naczynia liturgiczne.	<extra_id_0> księgi parafialne i <extra_id_1>
Odpowiedź <extra_id_0> co oznacza: „To samo dla ciebie”.	<extra_id_0> brzmi: Gam atem, <extra_id_1>
Bòcónë czãsto bùdëjã <extra_id_0> drëdzigò.	<extra_id_0> gniôzda jedno kòle <extra_id_1>
Marcia Gudereit, <extra_id_0> (ur.	<extra_id_0> z domu Schiml <extra_id_1>
Ta teza potwierdza, że Chorwacja <extra_id_0> katolickim.	<extra_id_0> była wówczas państwem <extra_id_1>
Kronis – naukowiec specjalizujący <extra_id_0> czasu.	<extra_id_0> się w kontrolowaniu <extra_id_1>
Abrazëjô - <extra_id_0> z erozjowich dzejników.	<extra_id_0> je to jeden <extra_id_1>
Czasã <extra_id_0> np.	<extra_id_0> kònie <extra_id_1>
Gdańsk : Zrzeszenie <extra_id_0> 1989, ss.	<extra_id_0> Kaszubsko-Pomorskie Oddział Miejski, <extra_id_1>
Wãgòrzëno (we <extra_id_0> Wangeryn 1414, Wangerin; pòl.	<extra_id_0> zdrojach: Vangheryn 1338, <extra_id_1>
Pszczelô matka <extra_id_0> chtërné wëdzelają substancëje hormonalné.	<extra_id_0> mô gargùle żuwaczkòwé, <extra_id_1>
Multilateracja może być wykorzystywana także przez pojedynczy odbiornik <extra_id_0> położenia przez pomiar TDoA sygnałów nadanych z trzech lub więcej zsynchronizowanych nadajników znajdujących się w znanych lokalizacjach.	<extra_id_0> do ustalenia własnego <extra_id_1>
Jak pòdôwô, <extra_id_0> poezjô, malarztwò, balét ë nôtëra.	<extra_id_0> ji zajimnotama są <extra_id_1>
Ù <extra_id_0> segmence je baro złożony kòpùlacyjny aparat.	<extra_id_0> samców na drëdżim <extra_id_1>
Falaise posiada <extra_id_0> metalowego.	<extra_id_0> niewielki ośrodek przemysłu <extra_id_1>
Sedzbą <extra_id_0> Keyserlingków ë Przebendowsczich.	<extra_id_0> mùzeùm Palast familëji <extra_id_1>
Je <extra_id_0> naszi erë (pò narodzenim Christusa), 831. rok drëdżégò tësąclecô, 31. rok XIX stolatégò, 1. rok 4-égò dzesãcolecô XIX stolatégò.	<extra_id_0> to 1831 rok <extra_id_1>
Słownik gwar kaszubskich na tle kultury ludowej, Ossolineum, Wrocław - <extra_id_0> - Gdańsk 1972, tom V, ss.	<extra_id_0> Warszawa - Kraków <extra_id_1>
Z listów tych emanował coraz większy seksualizm - Berg twierdził, że Bóg jest sexy, więc taki <extra_id_0> wszyscy wyznawcy.	<extra_id_0> sam obowiązek mają <extra_id_1>
Jogailaičiai) – wietew lëtewsczi dinastie Gedëminowiczów, jakô <extra_id_0> Władisława II Jagełłë.	<extra_id_0> wëwòdzy sã òd <extra_id_1>
Dodatkowo rozpostarli barierę <extra_id_0> Początku, dzięki czemu Akugata nie mogła się do niej dostać.	<extra_id_0> energetyczną nad Wioską <extra_id_1>
Na rysunku liczby pierwsze Eisensteina zostały wyróżnione kolorem <extra_id_0> odwracalne kolorem czerwonym.	<extra_id_0> zielonym, a elementy <extra_id_1>
Sarajewo zostało <extra_id_0> i Hercegowiny.	<extra_id_0> stolicą republiki Bośni <extra_id_1>
Przë <extra_id_0> dwùch chłopów.	<extra_id_0> ni bëło colemało <extra_id_1>
” <extra_id_0> nordze Kaszëb – „panëszką”	<extra_id_0> abò – na <extra_id_1>
W turnieju Apertura <extra_id_0> 16 spotkaniach i wpuścił tylko 9 goli.	<extra_id_0> 2006 wystąpił w <extra_id_1>
Za nôstarszi <extra_id_0> kaszëbsku są colemało ùwôżóne Duchowne piesnie D. Marcina Luthera y ynßich naboznich męzow.	<extra_id_0> dzeła napisòné pò <extra_id_1>
Òna <extra_id_0> do brzadu abò do tortë.	<extra_id_0> mòże bëc np. <extra_id_1>
Nadczidka ò Kabôtkach pòjôwiô sã w dokazie „Ò panu Czôrlińsczim, <extra_id_0> pò sécë jachôł”	<extra_id_0> co do Pùcka <extra_id_1>
Jest też liczna kolekcja niemieckich jednośladów <extra_id_0> 30.	<extra_id_0> cywilnych z lat <extra_id_1>
Otrzymały one <extra_id_0> i 115.	<extra_id_0> numery taborowe 114 <extra_id_1>
Współpracuje z wieloma zespołami muzycznymi z Lublina, nagrywa muzykę rozrywkową i orkiestrową oraz <extra_id_0> w Trio Gitarowym muzykę typu „coctail bar”.	<extra_id_0> gra z przyjaciółmi <extra_id_1>
W jego obrazach pojawiają się społeczne i polityczne treści związane z krytyką sytuacji <extra_id_0> wojennym.	<extra_id_0> polskiej po stanie <extra_id_1>
Niewiada gdze skùńcził <extra_id_0> gòdnika 1851 r. na Ùniwersytece m. Friderika Wilhelma w Berlinie òbarnił dochtórską robòtã z medicynë pt.	<extra_id_0> sztudia, le 11 <extra_id_1>
Po złapaniu Saida władze policji dokonują reorganizacji <extra_id_0> Stołecznej.	<extra_id_0> w pracy Komendy <extra_id_1>
Metafòra hewò <extra_id_0> dochȏdȏ do przesëniãcȏ znaczeniégò.	<extra_id_0> wërażenié, w jaczim <extra_id_1>
Banaszak B., <extra_id_0> 2004.	<extra_id_0> Prawo konstytucyjne, Warszawa <extra_id_1>
Na spòdlim tëch zôpisów przëjimô sã, że pielgrzimòwanié na Swiãtã Górã w XIV stalacu ni <extra_id_0> znóné.	<extra_id_0> bëło jesz tak <extra_id_1>
Zi <extra_id_0> pomimo pewnej zależności podporządkowania ma konotacje niezwykle pozytywne.	<extra_id_0> w kulturze chińskiej <extra_id_1>
W latach <extra_id_0> 3. bryg. 2. dywizji piechoty w Zamościu (dowodził nią chwilowo już w roku 1818).	<extra_id_0> 1820-1826 był dowódcą <extra_id_1>
Obszar ten jest <extra_id_0> Malinki.	<extra_id_0> najwyżej położoną częścią <extra_id_1>
Wësztôłcenié - to je pòswiôdczonô dokùmeńtã wiédzô zwënégòwónô w òficjalnym systemie ùczbë <extra_id_0> szkòłë).	<extra_id_0> (pùbliczné szkòłë, priwatné <extra_id_1>
W trakcie trwania operacji <extra_id_0> bezpieczeństwa pracownikom ONZ, którzy byli wręcz zastraszani przez władze z Kolombo.	<extra_id_0> wojsko nie zapewniało <extra_id_1>
Dwie gondole <extra_id_0> i lewej strony).	<extra_id_0> plazmy (z prawej <extra_id_1>
Podstawą ich utrzymania <extra_id_0> i pasterstwo.	<extra_id_0> jest wysokogórskie rolnictwo <extra_id_1>
Na czas bëcégò w <extra_id_0> nôwikszô òrganizacyjnô i ùtwórczô aktiwnosc pòetë.	<extra_id_0> Miszewie (1927–34) przëpôdô <extra_id_1>
Powrót do normalnej aktywności fizycznej oraz zawodowej możliwy jest od dwóch do <extra_id_0> od zastosowanej metody.	<extra_id_0> ośmiu tygodni zależnie <extra_id_1>
Herbert otrzymał panieńskie nazwisko swojej matki jako środkowe imię, <extra_id_0> jako podwójnego nazwiska.	<extra_id_0> którego potem używał <extra_id_1>
Lëdze przënoszają do kòscoła palmë, chtërne pò pòswiãcenim bãdą zaktłé za swiãté òbrazë i <extra_id_0> chrónic chëczë òd złégò.	<extra_id_0> kòl kropelniców, żebë <extra_id_1>
Wëszłé je z tegò sparłączenié różnëch sztélów, w <extra_id_0> Boogie, Bluegrassu ë Country.	<extra_id_0> tim: Bluesa, Hillbilly, <extra_id_1>
Westrzód bédowanëch mion nowich pòlsczich dëtków <extra_id_0> nôwikszą zwëskał "lech", "pol" ë "złoty".	<extra_id_0> II Repùbliczi Pòlsczi <extra_id_1>
Tu <extra_id_0> mòst.	<extra_id_0> je znóny lińcuszny <extra_id_1>
Mòdlëtwa je czinnoscią kùltową, charakteristiczną dlô wiele religijów, pòlegającą <extra_id_0> bóstwa.	<extra_id_0> na wëznôwanié do <extra_id_1>
Daje jej to charakterystyczną konsystencję chrząstki i stąd nazwa wrzód <extra_id_0> durum), inaczej wrzód Huntera (ulcus Hunteri), owrzodzenie pierwotne (sclerosis initialis).	<extra_id_0> twardy (łac. ulcus <extra_id_1>
Wszystkie te budynki miały <extra_id_0> a podłogi zastępowało klepisko.	<extra_id_0> dachy kryte darnią, <extra_id_1>
Dzece zazérają do wczasni zrobionëch zajcowéch gniôzdków, czë <extra_id_0> co przëniosłé.	<extra_id_0> jim zajc mô <extra_id_1>
Czej miôł kòl 20 <extra_id_0> klôsztoru Regùlarnëch Kanoników swiãtégò Aùgùsta.	<extra_id_0> lat wstãpił do <extra_id_1>
W 1934 Czijew <extra_id_0> Ùkrajińsczi SSR.	<extra_id_0> stôł sã stolëcą <extra_id_1>
To <extra_id_0> dac np.	<extra_id_0> òdcygóné mlékò mógł <extra_id_1>
Posiada <extra_id_0> rolę z lasem.	<extra_id_0> też na Kukadle <extra_id_1>
Dali <extra_id_0> nié mógł sztudérowac.	<extra_id_0> w wòjnie Òn <extra_id_1>
Wedle tradycji Ewanielëjô <extra_id_0> Efezie.	<extra_id_0> Jana pòwstałô w <extra_id_1>
Wiszónk (Fringilla coelebs) – to je ôrt <extra_id_0> rodzëznë wiszónkòwatëch (Fringillidae).	<extra_id_0> môłégò ptôcha z <extra_id_1>
Mòżna je <extra_id_0> sёrowò.	<extra_id_0> téż jesc na <extra_id_1>
W Wilnie aktiwnô je stowôra Wilno <extra_id_0> òrganizacja), chtërna mô za cél ùchòwanié kaszëbsczi ë pòlsczi kùlturë.	<extra_id_0> Heritage Society (pòzarządowô <extra_id_1>
Je to 1423 rok naszi erë (pò narodzenim Christusa), 423. rok drëdżégò tësąclecô, 23. <extra_id_0> 3. rok 3-égò dzesãcolecô XV stolatégò.	<extra_id_0> rok XV stolatégò, <extra_id_1>
Carlos Mérida (ur. 2 <extra_id_0> 21 grudnia 1984) –	<extra_id_0> grudnia 1891, zm. <extra_id_1>
Mòże téż zrobic ne zjestkù z jinëma ôrtama kapùstë, dostôwô sã <extra_id_0> a mni pikantną.	<extra_id_0> téj strôwã "lżészą" <extra_id_1>
Wëcyganié nôbarżi aktiwnëch Kaszëbów, òpòwiôdającëch sã <extra_id_0> tak wiôldżé, że na przëmiôr spòlëznnowò-kùlturowe żëce kaszëbsczé w Bëtowie, tak żëwé przed I swiatową wòjną, pò prôwdze zamarło.	<extra_id_0> za Pòlską, bëło <extra_id_1>
Przeplôtają <extra_id_0> niżawë.	<extra_id_0> sã wëszawë i <extra_id_1>
Konkurs Główny: <extra_id_0> Lior Shamriz (	<extra_id_0> Jury w składzie <extra_id_1>
Jego pierwsze utwory, zdobywając nagrody na prestiżowych konkursach we <extra_id_0> Włoszech, otworzyły sobie drogę na zapatrzony w Zachód albański rynek.	<extra_id_0> Francji i we <extra_id_1>
Je wiele wikszô <extra_id_0> i pùchôcza wirginijsczégò.	<extra_id_0> òd sowe sniżni <extra_id_1>
W <extra_id_0> zbiérk wiérztów "Mamota".	<extra_id_0> 1981 r. wëda <extra_id_1>
Emuqubazhe/Emuqubasheluo Chińczycy także starali <extra_id_0> przybliżeniu brzmienie pojęcia czy nazwy przy pomocy odpowiednich znaków.	<extra_id_0> się oddać w <extra_id_1>
Je to 1881 rok naszi <extra_id_0> Christusa), 881. rok drëdżégò tësąclecô, 81. rok XIX stolatégò, 1. rok 9-égò dzesãcolecô XIX stolatégò.	<extra_id_0> erë (pò narodzenim <extra_id_1>
Wòdny kòblunk (Nymphoides peltata) <extra_id_0> roscënë z rodzëznë bòbkòwatëch (Menyanthaceae).	<extra_id_0> – to ôrt <extra_id_1>
Wiôldżi <extra_id_0> Pòpiélcową Strzodą.	<extra_id_0> Pòst rozpòczinô sã <extra_id_1>
Zwëczajnô sosna abò <extra_id_0> L.) – to je wiedno zeloné drzéwiã z rodzëznë sosnowatëch (Pinaceae).	<extra_id_0> chójka (Pinus silvestris <extra_id_1>
Nasze <extra_id_0> òd pògòdë abò niepeleczi.	<extra_id_0> òbleczenié mòcno zanôlégô <extra_id_1>
Tym samym Płock <extra_id_0> Le Beca nad prowincją francuską Kościoła.	<extra_id_0> potwierdza jurysdykcję biskupa <extra_id_1>
Żôłtô <extra_id_0> L.) - to je roscëna z rodzëznë jastrownikòwatëch (Ranunculaceae).	<extra_id_0> kòzogrëzc (Anemone ranunculoides <extra_id_1>
Sceny, w jaczich aktorka <extra_id_0> w przescieradło lub rãcznik, bëłë wówczas szokùjące i spòtkały sã z protestama srodowisk białczich.	<extra_id_0> wystãpowała òwinięta tylko <extra_id_1>
Wiele <extra_id_0> wëbrelë na biskùpa, ale òn nie chcôł tegò ùczestnieniô.	<extra_id_0> lat pózni gò <extra_id_1>
